contig_id,contig_length,mapped_reads,total_reads,rpm,rpkm
k141_7877||full,1458,57,4998642,11.4031,7.8211
k141_163363||full,1893,74,4998642,14.8040,7.8204
k141_149139||full,948,37,4998642,7.4020,7.8080
k141_3572||full,2026,79,4998642,15.8043,7.8007
k141_78273||full,1975,77,4998642,15.4042,7.7996
k141_6558||lt2gene,1002,39,4998642,7.8021,7.7865
k141_95800||full,1953,76,4998642,15.2041,7.7850
k141_150861||full,1415,55,4998642,11.0030,7.7760
k141_117162||full,1235,48,4998642,9.6026,7.7754
k141_14227||full,2987,116,4998642,23.2063,7.7691
k141_94535||full,2163,84,4998642,16.8046,7.7691
k141_97181||full,1108,43,4998642,8.6023,7.7638
k141_38672||lt2gene,1675,65,4998642,13.0035,7.7633
k141_201||full,1572,61,4998642,12.2033,7.7629
k141_119228||full,4948,192,4998642,38.4104,7.7628
k141_116055||full,1754,68,4998642,13.6037,7.7558
k141_7582||full,1703,66,4998642,13.2036,7.7531
k141_7074||full,2426,94,4998642,18.8051,7.7515
k141_17068||full,1394,54,4998642,10.8029,7.7496
k141_137328||full,1085,42,4998642,8.4023,7.7440
k141_143080||full,1552,60,4998642,12.0033,7.7341
k141_47022||full,3080,119,4998642,23.8065,7.7294
k141_102515||full,1969,76,4998642,15.2041,7.7218
k141_74812||full,1738,67,4998642,13.4036,7.7121
k141_993||full,1222,47,4998642,9.4026,7.6944
k141_108332||full,2236,86,4998642,17.2047,7.6944
k141_87168||full,1378,53,4998642,10.6029,7.6944
k141_42817||full,1639,63,4998642,12.6034,7.6897
k141_109243||full,885,34,4998642,6.8018,7.6857
k141_80612||full,2788,107,4998642,21.4058,7.6778
k141_42649||full,2763,106,4998642,21.2058,7.6749
k141_78674||full,2894,111,4998642,22.2060,7.6731
k141_65750||full,1696,65,4998642,13.0035,7.6672
k141_172477||full,1990,76,4998642,15.2041,7.6403
k141_152346||full,1126,43,4998642,8.6023,7.6397
k141_86225||full,2174,83,4998642,16.6045,7.6378
k141_157852||full,2279,87,4998642,17.4047,7.6370
k141_104441||full,4113,157,4998642,31.4085,7.6364
k141_178192||full,3882,148,4998642,29.6080,7.6270
k141_162170||full,2230,85,4998642,17.0046,7.6254
k141_7098||full,1811,69,4998642,13.8037,7.6222
k141_92963||lt2gene,1444,55,4998642,11.0030,7.6198
k141_104393||full,1235,47,4998642,9.4026,7.6134
k141_131287||full,1971,75,4998642,15.0041,7.6124
k141_30896||full,1577,60,4998642,12.0033,7.6115
k141_112479||full,1316,50,4998642,10.0027,7.6008
k141_181040||full,2764,105,4998642,21.0057,7.5997
k141_114389||full,1053,40,4998642,8.0022,7.5994
k141_17811||full,2343,89,4998642,17.8048,7.5992
k141_161305||full,3081,117,4998642,23.4064,7.5970
k141_22257||full,1106,42,4998642,8.4023,7.5970
k141_41159||full,6452,245,4998642,49.0133,7.5966
k141_68649||full,3319,126,4998642,25.2068,7.5947
k141_142556||full,3721,141,4998642,28.2077,7.5807
k141_141511||full,1689,64,4998642,12.8035,7.5805
k141_40933||full,2378,90,4998642,18.0049,7.5714
k141_97852||full,2486,94,4998642,18.8051,7.5644
k141_104397||full,1164,44,4998642,8.8024,7.5622
k141_154784||full,2143,81,4998642,16.2044,7.5615
k141_158981||full,1801,68,4998642,13.6037,7.5534
k141_138828||full,1749,66,4998642,13.2036,7.5492
