contig_id,contig_length,mapped_reads,total_reads,rpm,rpkm
NODE_2394_length_1375_cov_1.819697||full,966,47,4998642,9.4026,9.7335
NODE_6058_length_1069_cov_1.791913||lt2gene,1069,52,4998642,10.4028,9.7314
NODE_930_length_1800_cov_1.631519||full,1800,83,4998642,16.6045,9.2247
NODE_2709_length_1330_cov_1.556863||full,1328,61,4998642,12.2033,9.1892
NODE_4205_length_1182_cov_1.604259||full,1181,54,4998642,10.8029,9.1473
NODE_5644_length_1089_cov_1.836557||full,1086,49,4998642,9.8027,9.0264
NODE_4178_length_1184_cov_1.625332||full,1180,53,4998642,10.6029,8.9855
NODE_1591_length_1538_cov_1.581254||full,1537,68,4998642,13.6037,8.8508
NODE_6548_length_1047_cov_1.793347||full,1045,46,4998642,9.2025,8.8062
NODE_7126_length_1024_cov_1.636739||full,937,41,4998642,8.2022,8.7537
NODE_4373_length_1171_cov_1.558244||full,1129,49,4998642,9.8027,8.6826
NODE_2322_length_1388_cov_1.498875||full,1316,57,4998642,11.4031,8.6650
NODE_6434_length_1052_cov_1.659980||full,1050,45,4998642,9.0024,8.5738
NODE_2644_length_1339_cov_1.728972||full,1084,46,4998642,9.2025,8.4894
NODE_5456_length_1099_cov_1.512452||full,942,39,4998642,7.8021,8.2825
NODE_4870_length_1137_cov_1.569316||full,1137,47,4998642,9.4026,8.2696
NODE_3379_length_1253_cov_1.370618||full,903,37,4998642,7.4020,8.1971
NODE_5920_length_1076_cov_1.595495||full,1075,44,4998642,8.8024,8.1883
NODE_6937_length_1032_cov_1.686796||full,989,40,4998642,8.0022,8.0912
NODE_3356_length_1255_cov_1.310000||full,1114,45,4998642,9.0024,8.0812
NODE_1412_length_1589_cov_1.436115||full,1588,64,4998642,12.8035,8.0626
NODE_4713_length_1148_cov_1.370540||full,1147,46,4998642,9.2025,8.0231
NODE_4073_length_1193_cov_1.251318||full,1191,47,4998642,9.4026,7.8947
NODE_3222_length_1269_cov_1.237232||full,1261,49,4998642,9.8027,7.7737
NODE_5152_length_1118_cov_1.653810||full,1006,39,4998642,7.8021,7.7556
NODE_6726_length_1040_cov_1.374619||full,957,37,4998642,7.4020,7.7346
NODE_2981_length_1297_cov_1.403382||full,1294,50,4998642,10.0027,7.7301
NODE_6108_length_1067_cov_1.442688||full,1067,41,4998642,8.2022,7.6872
NODE_6077_length_1068_cov_1.394867||full,1052,40,4998642,8.0022,7.6066
NODE_4775_length_1144_cov_1.348026||full,1089,41,4998642,8.2022,7.5319
NODE_4755_length_1145_cov_1.601835||full,1143,43,4998642,8.6023,7.5261
NODE_4771_length_1144_cov_1.549128||full,908,34,4998642,6.8018,7.4910
NODE_4866_length_1137_cov_1.772643||full,1097,40,4998642,8.0022,7.2946
NODE_7326_length_1016_cov_1.473465||lt2gene,1016,37,4998642,7.4020,7.2854
NODE_3316_length_1259_cov_1.298173||full,1114,40,4998642,8.0022,7.1833
NODE_7573_length_1008_cov_1.238195||full,1008,36,4998642,7.2020,7.1448
NODE_5430_length_1101_cov_1.511472||full,905,32,4998642,6.4017,7.0737
NODE_7176_length_1022_cov_1.561531||lt2gene,1022,36,4998642,7.2020,7.0469
NODE_4850_length_1138_cov_1.734995||full,1136,40,4998642,8.0022,7.0442
NODE_5024_length_1127_cov_1.245336||full,967,34,4998642,6.8018,7.0340
